ma1,ma2,ma3,ma4,ma5,ma6,g1,g2,g3,g4,g5,g6
-0.532436398482608,-0.1757264450553823,-0.45204027445037864,-0.0001352363606214961,0.6284435626374506,-0.5325773392220419,-1.064979452534675,-0.3527871336432867,-0.9039137570962756,-1.9623829349018875e-05,1.2566523167742376,-1.0651033013179863
-0.5283743126772247,-0.14687516656680344,-0.4907798692382633,6.33428598635579e-05,0.6375999484395585,-0.5283856515238499,-1.1227178144134962,-0.3120643960130026,-1.0428786253723556,8.834148826641116e-05,1.3549158474095087,-1.1227152007926788
-0.5715272739826474,-0.11122666027096896,-0.4970229826101804,5.199866544507835e-05,0.6083142441381834,-0.5713652490415317,-1.2143868202968717,-0.23628009195388183,-1.0562031178647984,6.807282357217684e-05,1.2925777790006032,-1.2142270448651677
-0.7386515100649731,-0.1600010086511915,-0.5772251077782659,7.502652121892692e-05,0.7372268670313156,-0.7386243773738959,-1.5511160310534442,-0.3359277066671867,-1.2121071622710815,0.00010072579158912333,1.5481332685243745,-1.5511439879800257
-0.5435377777856207,-0.1813205022418475,-0.43804897258605047,-6.025744071336508e-05,0.6191771104205276,-0.543582656312963,-1.087122171738661,-0.36257632909440113,-0.8759977452490515,-6.032893456576127e-05,1.2384436755791992,-1.0871782180436231
-0.5591778385676427,-0.12483901085246728,-0.521938567362293,-0.012344851290481348,0.6526656547131309,-0.5558924785531437,-1.1184033651106051,-0.24978013555463938,-1.0438225542665014,-0.024600779471178662,1.3053796502099666,-1.1116894713179784
-0.5331125007724242,-0.21781584725716768,-0.4365140167648524,3.3277881714587416e-05,0.6543216171853847,-0.5330855814954133,-1.0661494642279998,-0.4356945602383343,-0.872991172396622,9.123372764594664e-06,1.3087070815701858,-1.0662009439092397
-0.5810886198518026,-0.18710292396450698,-0.4411597821649851,-2.0478483599212768e-05,0.628238714681937,-0.5811173222695536,-1.162129968847898,-0.37416545808843166,-0.8823669385344273,-5.7769452491264166e-05,1.2563998504930924,-1.1623245444295582
-0.5515933348700691,-0.16310957192884912,-0.46080023202213855,-6.12602666200626e-05,0.6240451542214498,-0.5516732696386686,-1.1032580930594016,-0.3262623158233451,-0.9215590022869883,-3.768384039159185e-05,1.248023611314419,-1.1032557690347242
-0.5153548094227736,-0.12567728186892063,-0.41259534595502223,-3.2871547200218606e-05,0.5382820933994622,-0.515338870974758,-1.1042466067025793,-0.26934660013237927,-0.8841639746217385,-1.0499041297920266e-06,1.1535562541886606,-1.1042496521309186
-0.745227268576599,-0.17995416681583423,-0.5789619956514575,-2.0226711041046116e-05,0.7589029363918833,-0.7452690361476237,-1.5649275274356107,-0.37798972277662723,-1.2157501662931032,-6.135609616711126e-05,1.5936841302644664,-1.5649751469970063
-0.7443464968042157,-0.14364417423824521,-0.6045882901590476,1.5797242997148592e-05,0.7483488587208503,-0.7443874947247577,-1.5630640491556755,-0.3017739242614996,-1.2696032429130766,-5.9191607661096974e-05,1.571513011627864,-1.563140385025564
